batch 1  MS-SSIM: 0.95080	0.97966	0.98776	0.99175	0.99399	0.99539	0.99628	0.99691	0.99734	0.99766	0.99792	0.99813	0.99831	0.99843	0.99851	0.99857
batch 2  MS-SSIM: 0.92859	0.97075	0.98319	0.98856	0.99153	0.99345	0.99465	0.99554	0.99614	0.99660	0.99702	0.99733	0.99760	0.99777	0.99791	0.99801
batch 3  MS-SSIM: 0.93747	0.97498	0.98565	0.99029	0.99283	0.99445	0.99546	0.99621	0.99672	0.99711	0.99745	0.99772	0.99795	0.99810	0.99821	0.99830
batch 4  MS-SSIM: 0.94456	0.97862	0.98786	0.99184	0.99401	0.99539	0.99624	0.99686	0.99729	0.99762	0.99790	0.99813	0.99831	0.99844	0.99854	0.99860
batch 5  MS-SSIM: 0.93782	0.97538	0.98597	0.99048	0.99294	0.99454	0.99554	0.99628	0.99679	0.99718	0.99753	0.99779	0.99801	0.99816	0.99828	0.99836
batch 6  MS-SSIM: 0.93215	0.97256	0.98414	0.98931	0.99216	0.99398	0.99511	0.99594	0.99649	0.99693	0.99731	0.99760	0.99785	0.99802	0.99815	0.99824
batch 7  MS-SSIM: 0.92778	0.97016	0.98270	0.98845	0.99157	0.99355	0.99478	0.99567	0.99625	0.99673	0.99714	0.99745	0.99773	0.99792	0.99806	0.99816
batch 8  MS-SSIM: 0.93013	0.97091	0.98290	0.98847	0.99155	0.99351	0.99475	0.99565	0.99623	0.99670	0.99710	0.99741	0.99769	0.99788	0.99802	0.99812
batch 9  MS-SSIM: 0.93243	0.97188	0.98342	0.98881	0.99180	0.99371	0.99491	0.99578	0.99635	0.99680	0.99719	0.99749	0.99775	0.99794	0.99807	0.99817
batch 10  MS-SSIM: 0.93042	0.97107	0.98299	0.98850	0.99154	0.99348	0.99472	0.99561	0.99620	0.99668	0.99708	0.99739	0.99767	0.99785	0.99799	0.99809
batch 11  MS-SSIM: 0.92882	0.97009	0.98232	0.98801	0.99116	0.99319	0.99447	0.99540	0.99602	0.99652	0.99694	0.99727	0.99757	0.99777	0.99792	0.99802
batch 12  MS-SSIM: 0.92550	0.96768	0.98039	0.98639	0.98981	0.99205	0.99349	0.99453	0.99521	0.99579	0.99627	0.99666	0.99700	0.99724	0.99742	0.99755
batch 13  MS-SSIM: 0.92917	0.96955	0.98157	0.98723	0.99044	0.99254	0.99390	0.99487	0.99551	0.99605	0.99650	0.99687	0.99719	0.99741	0.99759	0.99770
batch 14  MS-SSIM: 0.93250	0.97118	0.98261	0.98796	0.99100	0.99298	0.99425	0.99517	0.99577	0.99628	0.99671	0.99705	0.99735	0.99756	0.99773	0.99784
batch 15  MS-SSIM: 0.93362	0.97180	0.98306	0.98831	0.99126	0.99318	0.99442	0.99531	0.99590	0.99640	0.99681	0.99714	0.99743	0.99764	0.99780	0.99790
batch 16  MS-SSIM: 0.93575	0.97293	0.98380	0.98883	0.99166	0.99350	0.99468	0.99553	0.99610	0.99657	0.99696	0.99728	0.99756	0.99775	0.99790	0.99800
batch 17  MS-SSIM: 0.93439	0.97216	0.98332	0.98850	0.99139	0.99330	0.99452	0.99539	0.99598	0.99647	0.99687	0.99720	0.99750	0.99770	0.99786	0.99796
batch 18  MS-SSIM: 0.93642	0.97324	0.98401	0.98899	0.99176	0.99359	0.99475	0.99559	0.99616	0.99662	0.99701	0.99732	0.99761	0.99780	0.99795	0.99805
batch 19  MS-SSIM: 0.93691	0.97336	0.98402	0.98898	0.99176	0.99359	0.99476	0.99560	0.99616	0.99663	0.99701	0.99733	0.99760	0.99780	0.99795	0.99805
batch 20  MS-SSIM: 0.93768	0.97380	0.98433	0.98921	0.99194	0.99373	0.99487	0.99569	0.99624	0.99670	0.99708	0.99738	0.99765	0.99784	0.99799	0.99809
